store_id,city,latitude,longitude,population,store_type,monthly_demand,demand_variability,priority_level,region,delivery_sla_hours,transport_cost_factor,cluster
S21,Patna,25.61,85.1414,1684222.0,Regional Hub,3519,High,Medium,Central,48,4.42571623863836,-1
S22,Ludhina,30.9083,75.8486,1649000.0,Regional Hub,2822,High,Medium,North,48,2.0367882064665186,0
S23,gra,27.18,78.02,1585705.0,Regional Hub,2907,Medium,Medium,North,48,2.4058861714641284,0
S24,Kalyn,19.2502,73.1602,1576614.0,Regional Hub,2984,High,Medium,West/East,48,4.654007076432223,1
S25,Madurai,9.9197,78.1194,1561129.0,Regional Hub,3067,High,Medium,South,48,2.0202463353848747,3
S26,Jamshedpur,22.8,86.1833,1558000.0,Regional Hub,3471,Low,Medium,Central,48,2.6432322056699946,2
S27,Nashik,20.0,73.7833,1486053.0,Retail Store,2615,High,Low,West/East,72,4.194935157466345,1
S28,Fardbd,28.4333,77.3167,1394000.0,Retail Store,2803,Medium,Low,North,72,4.767580790770773,0
S29,Aurangbd,19.88,75.32,1371330.0,Retail Store,2844,High,Low,West/East,72,4.607845038010402,1
S30,Rjkot,22.2969,70.7984,1335397.0,Retail Store,2186,High,Low,Central,72,2.897077237842239,4
S31,Meerut,28.99,77.7,1305429.0,Retail Store,2723,Medium,Low,North,72,4.848716885390143,0
S32,Jabalpur,23.1667,79.9333,1267564.0,Retail Store,2201,Low,Low,Central,72,2.9489963499872003,-1
S33,Thne,19.18,72.9633,1261517.0,Retail Store,2084,Low,Low,West/East,72,3.301598792637071,1
S34,Dhanbd,23.7928,86.435,1246000.0,Retail Store,2939,Medium,Low,Central,72,4.985965620472097,2
S35,Allahbd,25.455,81.84,1201000.0,Retail Store,2849,High,Low,Central,72,4.598531596188859,5
S36,Vrnasi,25.3189,83.0128,1198491.0,Retail Store,2692,High,Low,Central,72,5.396893641976712,5
S37,Srnagar,34.0911,74.8061,1180570.0,Retail Store,2176,Low,Low,North,72,4.630451569201373,0
S38,Amritsar,31.6167,74.85,1132383.0,Retail Store,1900,Medium,Low,North,72,4.273234413341887,0
S39,Algarh,27.88,78.08,1131160.0,Retail Store,2429,Medium,Low,North,72,2.37469907131237,0
S40,Bhiwandi,19.3,73.0667,1125898.0,Retail Store,2197,Low,Low,West/East,72,3.470863212237734,1
S41,Gwalior,26.215,78.1931,1101981.0,Retail Store,1870,Low,Low,North,72,3.060809470726902,0
S42,Bhilai,21.2167,81.4333,1097000.0,Retail Store,2189,Medium,Low,Central,72,2.9759585735163343,-1
S43,Hora,22.59,88.31,1077075.0,Retail Store,1752,High,Low,Central,72,5.892042219009783,2
S44,Rnchi,23.3556,85.3347,1073440.0,Retail Store,2498,Medium,Low,Central,72,3.5723908986670416,2
S45,Bezwda,16.5167,80.6167,1048240.0,Retail Store,1894,Medium,Low,West/East,72,5.568186220708453,-1
S46,Chandgarh,30.7353,76.7911,1026459.0,Retail Store,2186,Medium,Low,North,72,4.524554503989052,0
S47,Mysore,12.3086,76.6531,1014227.0,Retail Store,1875,Medium,Low,South,72,5.179245214166594,3
S48,Raipur,21.2379,81.6337,1010087.0,Retail Store,2036,High,Low,Central,72,4.010548372420768,-1
S49,Kota,25.18,75.83,1001694.0,Retail Store,2040,High,Low,Central,72,4.307615538505436,-1
S50,Bareilly,28.364,79.415,1000000.0,Retail Store,1747,Low,Low,North,72,3.970070775275456,0
S51,Jodhpur,26.2918,73.0168,995000.0,Retail Store,2363,Medium,Low,North,72,2.780971951192178,-1
S52,Coimbatore,11.0,76.9667,959823.0,Retail Store,2130,Medium,Low,South,72,4.889808461046021,3
S53,Dispur,26.15,91.77,957352.0,Retail Store,2251,Low,Low,North,72,3.123089449763423,-1
S54,Guwhti,26.1667,91.7667,957352.0,Retail Store,2217,Low,Low,North,72,2.097263865725816,-1
S55,Solpur,17.6833,75.9167,951558.0,Retail Store,1977,Medium,Low,West/East,72,4.581889183628672,-1
S56,Trichinopoly,10.8269,78.6928,916857.0,Retail Store,2143,Medium,Low,South,72,2.708442717628196,3
S57,Hubli,15.36,75.125,890000.0,Retail Store,1487,Low,Low,West/East,72,5.761834337411657,7
S58,Jalandhar,31.3256,75.5792,873725.0,Retail Store,1534,Low,Low,North,72,5.8157143080103495,0
S59,Bhubaneshwar,20.2644,85.8281,837737.0,Retail Store,1370,High,Low,Central,72,5.659457560881794,-1
S60,Bhayandar,19.3,72.85,814655.0,Retail Store,1515,Low,Low,West/East,72,3.4806348010217776,1
S61,Mordbd,28.8418,78.7568,787000.0,Retail Store,1503,Low,Low,North,72,2.0618264661154697,0
S62,Kolhpur,16.7,74.2333,750000.0,Retail Store,1362,Medium,Low,West/East,72,5.713274250350901,-1
S63,Thiruvananthapuram,8.5,76.8997,743691.0,Retail Store,1682,High,Low,South,72,3.712736593269257,3
S64,Sahranpur,29.964,77.546,705478.0,Retail Store,1330,Low,Low,North,72,5.866619276174678,0
S65,Warangal,17.9756,79.6011,704570.0,Retail Store,1285,Medium,Low,West/East,72,5.854479908357011,-1
S66,Salem,11.65,78.1667,693236.0,Retail Store,1410,Medium,Low,South,72,5.41203782186944,3
S67,Mlegaon,20.55,74.55,690844.0,Retail Store,1183,Low,Low,Central,72,3.1777955682783428,1
S68,Kochi,9.9667,76.2833,677381.0,Retail Store,1518,Medium,Low,South,72,3.540390914407701,3
S69,Gorakhpur,26.7611,83.3667,673446.0,Retail Store,1117,Medium,Low,North,72,5.404546686067428,5
S70,Shimoga,13.9304,75.56,654055.0,Retail Store,1562,Medium,Low,South,72,3.2676880206251107,7
S71,Tiruppr,11.1075,77.3398,650000.0,Retail Store,1441,Medium,Low,South,72,2.67797098674437,3
S72,Guntr,16.3,80.45,647508.0,Retail Store,1138,Medium,Low,West/East,72,4.227205049833401,-1
S73,Raurkela,22.2492,84.8828,625831.0,Retail Store,1004,Low,Low,Central,72,5.744619096643124,2
S74,Mangalore,12.8703,74.8806,623841.0,Retail Store,1405,High,Low,South,72,4.784119186699892,7
S75,Nnded,19.15,77.3333,623708.0,Retail Store,1350,Medium,Low,West/East,72,4.28024468035746,-1
S76,Cuttack,20.45,85.8667,606007.0,Retail Store,1323,Low,Low,Central,72,2.388705975083074,-1
S77,Chnda,19.95,79.3,595118.0,Retail Store,1319,Low,Low,West/East,72,4.460028906796679,6
S78,Dehra Dn,30.318,78.029,578420.0,Retail Store,959,Medium,Low,North,72,5.960215400417053,0
S79,Durgpur,23.55,87.32,566517.0,Retail Store,1068,Medium,Low,Central,72,2.560336060946096,2
S80,sansol,23.6833,86.9667,563917.0,Retail Store,954,Low,Low,Central,72,4.073318609454947,2
S81,Bhvnagar,21.765,72.1369,554978.0,Retail Store,1271,Medium,Low,Central,72,5.509492287711822,4
S82,Amrvati,20.9333,77.75,549370.0,Retail Store,1152,Low,Low,Central,72,4.963074471016817,6
S83,Nellore,14.4333,79.9667,547621.0,Retail Store,1021,Medium,Low,South,72,4.788062963981072,-1
S84,Ajmer,26.468,74.639,542321.0,Retail Store,895,Low,Low,North,72,4.8099363359484375,-1
S85,Tinnevelly,8.7289,77.7081,542200.0,Retail Store,1002,Medium,Low,South,72,3.4379646048790207,3
S86,Bkaner,28.0181,73.3169,529007.0,Retail Store,984,Medium,Low,North,72,3.174367377057973,-1
S87,Agartala,23.8333,91.2667,522613.0,Retail Store,1141,High,Low,Central,72,5.237444621914055,-1
S88,Ujjain,23.1828,75.7772,515215.0,Retail Store,1087,Low,Low,Central,72,5.240453578716723,-1
S89,Jhnsi,25.4486,78.5696,507000.0,Retail Store,1171,Medium,Low,Central,72,5.468289274320415,0
S90,Ulhsnagar,19.2167,73.15,506098.0,Retail Store,1000,Low,Low,West/East,72,5.652962210225885,1
S91,Davangere,14.4667,75.9167,503564.0,Retail Store,853,High,Low,South,72,4.045369595443751,7
S92,Jammu,32.7333,74.85,502197.0,Retail Store,1090,High,Low,North,72,4.006065178748798,0
